Name		Maths		English		Computer		Science		History
Harry			90			70			80			75			45
Riley			90			85			78			40			50
Reyan			80			90			40			45			76
Steven			90			100			80			86			92
Ivett			40			90			80			79			92
Elissa			90			75			82			92			70
Renell			90			82			78			70			98
Pearl			45			68			92			64			98
Elle			90			80			73			65			89
Wynn			90			80			65			76			89
Reya			95			76			82			93			87
Alias			66			87			98			36			72
Lienet			90			67			82			93			45
Patrick			98			34			67			89			92
Lenel			98			78			67			53			89
Petra			98			45			98			34			76
Hrida			98			39			58			96			37
Helen			89			87			34			67			79
Ryan			89			93			40			56			54
Shrey			98			24			65			77			89
